Zeit,Motortemperatur,Motorlast,Drehzahl,LL-Stab. Arbeitsber.,LL-Stab. Nullpunkt,LL-Stab. Lastanpassung,LL-Stab. Kennl.-Strg.,Lambdaregelung aktiv,Lambdareg. Anpassung,Zündwinkel
1,196,21,81,127,117,128,48,145,130,36
2,196,20,84,127,117,128,48,144,130,36
3,196,20,84,127,117,128,48,144,130,36
4,196,20,83,126,117,128,48,145,130,36
5,196,20,83,127,117,127,48,147,130,36
6,196,20,83,127,117,127,48,146,130,36
7,196,20,83,127,117,127,48,146,130,36
8,196,20,80,127,117,127,48,146,130,36
9,196,20,81,127,117,127,48,147,130,36
10,196,21,80,127,117,127,48,150,130,36
11,196,21,81,127,117,127,48,150,130,36
12,196,20,83,127,117,127,48,151,130,36
13,196,20,86,127,117,127,48,151,130,36
14,196,19,86,127,117,127,48,151,130,36
15,196,19,86,126,117,127,48,150,130,36
16,196,19,84,126,117,127,48,150,130,36
17,196,19,83,126,117,127,48,150,130,36
18,196,19,81,126,117,127,48,150,130,36
19,196,20,80,126,117,127,48,149,130,36
20,196,20,80,126,117,127,48,149,130,36
21,196,20,79,126,117,127,48,149,130,36
22,196,20,79,126,117,127,48,149,130,36
23,196,20,79,126,117,127,48,150,130,36
24,196,20,81,126,117,127,48,155,130,36
25,196,20,83,126,117,127,48,156,130,36
26,196,19,86,125,117,127,48,156,130,36
27,196,19,85,125,117,127,48,156,130,36
28,196,19,83,125,117,127,48,155,130,36
29,196,19,83,125,117,127,48,157,130,36
30,196,19,80,125,117,127,48,157,130,36
31,196,19,80,125,117,127,48,160,130,36
32,196,20,79,125,117,127,48,160,130,36
33,196,19,80,125,117,127,48,160,130,36
34,196,19,81,125,117,127,48,160,130,36
35,196,19,81,125,117,127,48,160,130,36
36,196,19,83,125,117,127,48,160,130,36
37,196,19,83,125,117,127,48,160,130,36
38,196,19,81,125,117,127,48,160,130,36
39,196,19,81,125,117,127,48,160,130,36
40,196,19,80,125,117,127,48,160,130,36
41,196,19,80,125,117,127,48,160,130,36
42,196,20,80,125,117,127,48,160,130,36
43,196,20,81,125,117,127,48,160,130,36
44,196,19,81,125,117,127,48,160,130,36
45,196,19,81,125,117,127,48,160,130,36
46,196,19,81,125,117,127,48,160,130,36
47,198,19,81,125,117,127,48,160,130,36
48,198,19,80,125,117,127,48,160,130,36
49,196,19,80,125,117,127,48,160,130,36
50,198,20,80,125,117,127,48,160,130,36
51,198,19,80,125,117,127,48,160,130,36
52,196,19,82,125,117,127,48,160,130,36
53,198,19,82,125,117,127,48,160,130,36
54,198,19,81,125,117,127,48,160,130,36
55,198,19,79,125,117,127,48,160,130,36
56,198,19,79,125,117,127,48,160,130,36
57,198,20,80,125,117,127,48,160,130,36
58,198,20,80,125,117,127,48,160,130,36
59,198,19,81,125,117,127,48,159,130,36
60,198,19,81,125,117,127,48,160,130,36
61,198,19,81,125,117,127,48,160,130,36
62,198,19,80,125,117,127,48,160,130,36
63,198,19,80,125,117,127,48,160,130,36
64,198,19,80,125,117,127,48,160,130,36
65,198,19,80,125,117,127,48,160,130,36
66,198,19,80,125,117,127,48,160,130,36
67,198,19,80,125,117,127,48,160,130,36
68,198,19,80,125,117,127,48,159,130,36
69,198,20,80,125,117,127,48,159,130,36
70,198,20,79,125,117,127,48,159,130,36
71,198,20,80,125,117,127,48,159,130,36
72,198,19,80,125,117,127,48,159,130,36
73,198,19,81,125,117,127,48,160,130,36
74,198,19,81,125,117,127,48,160,130,36
75,198,19,81,125,117,127,48,160,130,36
76,198,19,81,125,117,127,48,160,130,36
77,198,19,81,125,117,127,48,160,130,36
78,198,19,80,125,117,127,48,160,130,36
79,198,19,80,125,117,127,48,159,130,36
80,198,19,79,125,117,127,48,159,130,36
81,198,19,81,125,117,127,48,159,130,36
82,198,19,81,125,117,127,48,160,130,36
83,198,19,81,125,117,127,48,160,130,36
84,198,19,81,125,117,127,48,160,130,36
85,198,19,81,125,117,127,48,160,130,36
86,198,19,80,125,117,127,48,160,130,36
87,198,19,80,125,117,127,48,160,130,36
88,198,19,80,125,117,127,48,160,130,36
89,198,19,79,125,117,127,48,160,130,36
90,198,19,80,125,117,127,48,160,130,36
91,198,19,79,125,117,127,48,160,130,36
92,198,20,77,125,117,127,48,160,130,36
93,198,20,79,125,117,127,48,160,130,36
94,198,20,79,125,117,127,48,160,130,36
95,198,19,81,125,117,127,48,160,130,36
96,198,19,82,125,117,127,48,160,130,36
97,198,19,81,125,117,127,48,160,130,36
98,198,19,81,125,117,127,48,160,130,36
99,198,19,80,125,117,127,48,160,130,36
100,198,19,79,125,117,127,48,160,130,36
101,198,20,78,125,117,127,48,160,130,36
102,198,19,80,125,117,127,48,160,130,36
103,198,19,80,125,117,127,48,160,130,36
104,198,19,80,125,117,127,48,160,130,36
105,198,19,81,125,117,127,48,160,130,36
106,198,19,81,125,117,127,48,160,130,36
107,198,19,80,125,117,127,48,160,130,36
108,198,19,79,125,117,127,48,160,130,36
109,198,19,79,125,117,127,48,160,130,36
110,198,20,77,125,117,127,48,160,130,36
111,198,20,79,125,117,127,48,160,130,36
112,198,19,81,125,117,127,48,160,130,36
113,198,19,83,125,117,127,48,160,130,36
114,198,18,81,125,117,127,48,160,130,36
115,198,19,81,125,117,127,48,160,130,36
116,198,19,80,125,117,127,48,160,130,36
117,198,19,79,125,117,127,48,160,130,36
118,198,19,79,125,117,127,48,159,130,36
119,198,19,79,125,117,127,48,159,130,36
120,198,19,80,125,117,127,48,159,130,36
121,198,19,78,125,117,127,48,160,130,36
122,198,20,78,125,117,127,48,160,130,36
123,198,20,78,125,117,127,48,160,130,36
124,198,19,80,125,117,127,48,160,130,36
125,198,19,80,125,117,127,48,160,130,36
126,198,19,81,125,117,127,48,160,130,36
127,198,19,81,125,117,127,48,160,130,36
128,198,19,81,125,117,127,48,160,130,36
129,198,19,83,125,117,127,48,160,130,36
130,198,19,80,125,117,127,48,159,130,36
131,199,20,79,125,117,127,48,159,130,36
132,198,20,78,125,117,127,48,160,130,36
133,198,20,77,125,117,127,48,160,130,36
134,198,20,78,125,117,127,48,160,130,36
135,198,20,78,125,117,127,48,160,130,36
136,198,20,79,125,117,127,48,160,130,36
137,198,20,80,125,117,127,48,160,130,36
138,198,19,81,125,117,127,48,160,130,36
